id	policy_loss	critic_loss	performance	generalization
0	mean((logprob((pi(next_state)|a)|pi(next_state)) - min_last_axis(v(state, (pi(next_state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8521731892081191	0.4452412296527714
1	mean((logprob((pi(next_state)|a)|pi(next_state)) - min_last_axis(v(state, (pi(next_state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8514007726351841	0.4565770424128477
2	mean((logprob((pi(state)|a)|pi(state)) - v(next_state, (pi(state)|a))))	mean(L2[(reward + ((v(next_state, (pi(state)|a)) - logprob((pi(state)|a)|pi(state))) * gamma)), v(state, action)])	0.8512511554095286	0.46009865419331347
3	mean((logprob((pi(next_state)|a)|pi(next_state)) - v(next_state, (pi(next_state)|a))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8508264880352144	0.466898832237039
4	mean((logprob((pi(next_state)|a)|pi(next_state)) - min_last_axis(v(state, (pi(next_state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8498117446472511	0.4744939265985331
5	mean((logprob((pi(state)|a)|pi(state)) - min_last_axis(v(state, (pi(state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.847561511200514	0.4776745020500127
6	mean((logprob((pi(next_state)|a)|pi(next_state)) - min_last_axis(v(state, (pi(state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8460537050733443	0.4819878404796046
7	mean((logprob((pi(state)|a)|pi(state)) - min_last_axis(v(next_state, (pi(state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8451057936200335	0.49588209741922773
8	mean((logprob((pi(state)|a)|pi(state)) - min_last_axis(v(state, (pi(next_state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.851954250360285	0.4318324410915352
9	mean((logprob((pi(next_state)|a)|pi(next_state)) - min_last_axis(v(state, (pi(state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8513880656814073	0.4468899823903929
10	mean((logprob((pi(next_state)|a)|pi(next_state)) - min_last_axis(v(state, (pi(next_state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.850973937894728	0.44795392479689194
11	mean((logprob((pi(next_state)|a)|pi(next_state)) - min_last_axis(v(state, (pi(next_state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8498135127671501	0.4580325622838702
12	mean((logprob((pi(state)|a)|pi(state)) - v(next_state, (pi(state)|a))))	mean(L2[(reward + ((v(next_state, (pi(state)|a)) - logprob((pi(state)|a)|pi(state))) * gamma)), v(state, action)])	0.8498084825103789	0.47253495486411423
13	mean((logprob((pi(state)|a)|pi(state)) - v(next_state, (pi(state)|a))))	mean(L2[(reward + ((v(next_state, (pi(state)|a)) - logprob((pi(state)|a)|pi(state))) * gamma)), v(state, action)])	0.8483276215914807	0.47370426555330175
14	mean((logprob((pi(state)|a)|pi(state)) - min_last_axis(v(state, (pi(next_state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8460375462588978	0.4787081546099009
15	mean((logprob((pi(state)|a)|pi(state)) - min_last_axis(v(state, (pi(state)|a)))))	mean(L2[(reward + ((v(next_state, (pi(next_state)|a)) - logprob((pi(next_state)|a)|pi(next_state))) * gamma)), v(state, action)])	0.8438065905206482	0.47877935521887505
